number;question;answer;explaination;Column1;_1;_2
84;Η παραβίαση προσωπικών δεδομένων εξαρτάται κυρίως από τις κυβερνοεπιθέσεις, και όχι από τις εσωτερικές απειλές που προέρχονται από υπαλλήλους ή συνεργάτες.;Λάθος;Οι εσωτερικές απειλές (Insider Threats), είτε εκούσιες είτε ακούσιες, αποτελούν σημαντική αιτία παραβιάσεων δεδομένων.;;;
85;Ο Γενικός Κανονισμός για την Προστασία Δεδομένων (GDPR) επιτρέπει τη συλλογή προσωπικών δεδομένων χωρίς την συγκατάθεση του χρήστη.;Λάθος;Η συγκατάθεση του χρήστη είναι μια από τις βασικές νομικές βάσεις για τη συλλογή και επεξεργασία δεδομένων σύμφωνα με τον GDPR.;;;
86;Η εφαρμογή του μοντέλου B2C (Business to Consumer) επιτρέπει στις επιχειρήσεις να αλληλεπιδρούν απευθείας με τους τελικούς καταναλωτές μέσω διαδικτυακών πλατφορμών.;Σωστό;Το μοντέλο B2C περιγράφει την απευθείας σχέση πώλησης μεταξύ επιχείρησης και τελικού καταναλωτή.;;;
87;Τα υβριδικά μοντέλα (Hybrid Delivery Models) συνδυάζουν φυσική και ψηφιακή παράδοση προϊόντων και υπηρεσιών, προσφέροντας μεγαλύτερη ευελιξία στους καταναλωτές.;Σωστό;Τα υβριδικά μοντέλα (π.χ. click-and-collect) συνδυάζουν το online με το φυσικό κατάστημα.;;;
88;Η συμμόρφωση με τον GDPR δεν έχει σημασία για τις επιχειρήσεις που δραστηριοποιούνται σε χώρες εκτός της ΕΕ.;Λάθος;Ο GDPR έχει εξωεδαφική ισχύ: εφαρμόζεται σε κάθε επιχείρηση παγκοσμίως που επεξεργάζεται δεδομένα πολιτών της ΕΕ.;;;
89;Η αυθεντικοποίηση διπλού παράγοντα (2FA) αποτελεί μια από τις ισχυρότερες τεχνικές για την ενίσχυση της ασφάλειας των δεδομένων στον ψηφιακό κόσμο.;Σωστό;Η 2FA προσφέρει σημαντική ενίσχυση της ασφάλειας, καθιστώντας την πρόσβαση πιο δύσκολη για τους εισβολείς.;;;
90;Ο ψηφιακός μετασχηματισμός περιορίζεται στην εφαρμογή νέων τεχνολογιών χωρίς να απαιτείται οργανωσιακή αλλαγή.;Λάθος;Ο ψηφιακός μετασχηματισμός απαιτεί καινοτομία, αλλαγή διαδικασιών και κουλτούρας, πέρα από την απλή εφαρμογή τεχνολογίας.;;;
91;Η τεχνητή νοημοσύνη μπορεί να συμβάλει στη λήψη επιχειρηματικών αποφάσεων μέσω της ανάλυσης μεγάλων όγκων δεδομένων.;Σωστό;Η ΑΙ αναλύει δεδομένα και παρέχει insights που υποστηρίζουν τη λήψη τεκμηριωμένων αποφάσεων.;;;
92;Η αντίσταση στην αλλαγή αποτελεί έναν από τους συχνότερους ανασταλτικούς παράγοντες στην εφαρμογή του ψηφιακού μετασχηματισμού.;Σωστό;Η αντίσταση από το προσωπικό και τα στελέχη είναι ένα σημαντικό εμπόδιο στην επιτυχία των έργων ψηφιακού μετασχηματισμού.;;;
93;Η εισαγωγή ψηφιακών εργαλείων στις επιχειρήσεις καταργεί την ανάγκη για ανθρώπινο δυναμικό.;Λάθος;Τα ψηφιακά εργαλεία αλλάζουν τους ρόλους και τις δεξιότητες που απαιτούνται, αλλά δεν καταργούν την ανάγκη για ανθρώπινο δυναμικό.;;;
94;Τα συστήματα ERP και CRM αποτελούν παραδείγματα ψηφιακών λύσεων που υποστηρίζουν την επιχειρησιακή λειτουργία.;Σωστό;Τα ERP και CRM είναι βασικά συστήματα που αυτοματοποιούν και διαχειρίζονται βασικές λειτουργίες.;;;
95;Η ψηφιακή ηγεσία δεν έχει ιδιαίτερη σημασία για την επιτυχή υλοποίηση της τεχνολογικής αλλαγής.;Λάθος;Η ψηφιακή ηγεσία είναι κρίσιμη για να καθοδηγήσει, να εμπνεύσει και να διαχειριστεί την αλλαγή.;;;
96;Η συλλογή και ανάλυση δεδομένων σε πραγματικό χρόνο ενισχύει τη λήψη τεκμηριωμένων αποφάσεων.;Σωστό;Τα δεδομένα σε πραγματικό χρόνο επιτρέπουν ταχεία απόκριση και καλύτερες, πιο τεκμηριωμένες αποφάσεις.;;;
97;Η ψηφιακή ωριμότητα μιας επιχείρησης εξαρτάται αποκλειστικά από το είδος της τεχνολογίας που χρησιμοποιεί.;Λάθος;Η ψηφιακή ωριμότητα εξαρτάται και από την κουλτούρα, τις διαδικασίες και τις δεξιότητες του προσωπικού, όχι μόνο από την τεχνολογία.;;;
98;Η επιτυχία του ψηφιακού μετασχηματισμού απαιτεί την ευθυγράμμιση της τεχνολογίας με τους επιχειρησιακούς στόχους.;Σωστό;Η τεχνολογία πρέπει να υποστηρίζει και να επιτρέπει την επίτευξη των στρατηγικών στόχων της επιχείρησης.;;;
99;Η έννοια της επιχειρησιακής ευφυΐας σχετίζεται με την ικανότητα μιας επιχείρησης να αξιοποιεί δεδομένα για τη λήψη αποφάσεων.;Σωστό;Η Επιχειρησιακή Ευφυΐα (Business Intelligence - BI) αναφέρεται στις διαδικασίες και τις τεχνολογίες για τη συλλογή, αποθήκευση και ανάλυση δεδομένων για τη βελτίωση της λήψης αποφάσεων.;;;
